"This is a list of medallists at the Summer Olympic Games (1896-2004) with details of the year of the olympics, city, sport, discipline, athlete name, gender, event and medal",,,,,,,,,,
,,,,,,,,,,
"DISCLAIMER: No guarantees, express or implied, as to the accuracy or completeness of the information provided. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,City,Sport,Discipline,Athlete Name,NOC,Gender,Event,Event Gender,Medal,Position
1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,100km,M,Gold,1
1896,Athens,Cycling,Cycling Track,"KOLETTIS, Georgios",GRE,Men,100km,M,Silver,2
1896,Athens,Athletics,Athletics,"LANE, Francis",USA,Men,100m,M,Bronze,3
1896,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,100m,M,Bronze,3
1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,100m,M,Gold,1
1896,Athens,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100m,M,Silver,2
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100m freestyle,M,Gold,1
1896,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100m freestyle,M,Silver,2
1896,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,100m freestyle for sailors,M,Bronze,3
1896,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,100m freestyle for sailors,M,Gold,1
1896,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100m freestyle for sailors,M,Silver,2
1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,10km,M,Bronze,3
1896,Athens,Cycling,Cycling Track,"MASSON, Paul",FRA,Men,10km,M,Gold,1
1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,10km,M,Silver,2
1896,Athens,Athletics,Athletics,"CURTIS, Thomas",USA,Men,110m hurdles,M,Gold,1
1896,Athens,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110m hurdles,M,Silver,2
1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,12-hour race,M,Gold,1
1896,Athens,Cycling,Cycling Track,"KEEPING, Frank",GBR,Men,12-hour race,M,Silver,2
1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,1200m freestyle,M,Bronze,3
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,1200m freestyle,M,Gold,1
1896,Athens,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200m freestyle,M,Silver,2
1896,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500m,M,Bronze,3
1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500m,M,Gold,1
1896,Athens,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500m,M,Silver,2
1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,1km time trial,M,Bronze,3
1896,Athens,Cycling,Cycling Track,"MASSON, Paul",FRA,Men,1km time trial,M,Gold,1
1896,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,1km time trial,M,Silver,2
1896,Athens,Shooting,Shooting,"MORAKIS, Nikolaos",GRE,Men,25m army pistol,M,Bronze,3
1896,Athens,Shooting,Shooting,"PAINE, John",USA,Men,25m army pistol,M,Gold,1
1896,Athens,Shooting,Shooting,"PAINE, Sumner",USA,Men,25m army pistol,M,Silver,2
1896,Athens,Shooting,Shooting,"NIELSEN, Holger",DEN,Men,25m rapid fire pistol (60 shots),M,Bronze,3
1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,25m rapid fire pistol (60 shots),M,Gold,1
1896,Athens,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,25m rapid fire pistol (60 shots),M,Silver,2
1896,Athens,Athletics,Athletics,"GMELIN, Charles",GBR,Men,400m,M,Bronze,3
1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,400m,M,Gold,1
1896,Athens,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400m,M,Silver,2
1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400m freestyle,M,Bronze,3
1896,Athens,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400m freestyle,M,Gold,1
1896,Athens,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400m freestyle,M,Silver,2
1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,50m pistol (60 shots),M,Bronze,3
1896,Athens,Shooting,Shooting,"PAINE, Sumner",USA,Men,50m pistol (60 shots),M,Gold,1
1896,Athens,Shooting,Shooting,"NIELSEN, Holger",DEN,Men,50m pistol (60 shots),M,Silver,2
1896,Athens,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800m,M,Bronze,3
1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,800m,M,Gold,1
1896,Athens,Athletics,Athletics,"DANI, Nandor",HUN,Men,800m,M,Silver,2
1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,Sprint indivual,M,Bronze,3
1896,Athens,Cycling,Cycling Track,"MASSON, Paul",FRA,Men,Sprint indivual,M,Gold,1
1896,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,Sprint indivual,M,Silver,2
1896,Athens,Shooting,Shooting,"TRIKUPIS, Nicolaos",GRE,Men,"army rifle, 200m",M,Bronze,3
1896,Athens,Shooting,Shooting,"KARASEVDAS, Pantelis",GRE,Men,"army rifle, 200m",M,Gold,1
1896,Athens,Shooting,Shooting,"PAVLIDIS, Pavlos",GRE,Men,"army rifle, 200m",M,Silver,2
1896,Athens,Shooting,Shooting,"JENSEN, Viggo",DEN,Men,"army rifle, 300m",M,Bronze,3
1896,Athens,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,"army rifle, 300m",M,Gold,1
1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,"army rifle, 300m",M,Silver,2
1896,Athens,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,discus throw,M,Bronze,3
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,discus throw,M,Gold,1
1896,Athens,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,discus throw,M,Silver,2
1896,Athens,Tennis,Tennis,"FLACK, Edwin",ZZX,Men,doubles,M,Bronze,3
1896,Athens,Tennis,Tennis,"ROBERTSON, George Stuart",ZZX,Men,doubles,M,Bronze,3
1896,Athens,Tennis,Tennis,"BOLAND, John",ZZX,Men,doubles,M,Gold,1
1896,Athens,Tennis,Tennis,"TRAUN, Friedrich",ZZX,Men,doubles,M,Gold,1
1896,Athens,Tennis,Tennis,"KASDAGLIS, Dionysios",ZZX,Men,doubles,M,Silver,2
1896,Athens,Tennis,Tennis,"PETROKOKKINOS, Demetrios",ZZX,Men,doubles,M,Silver,2
1896,Athens,Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Men,foil individual,M,Bronze,3
1896,Athens,Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",FRA,Men,foil individual,M,Gold,1
1896,Athens,Fencing,Fencing,"CALLOT, Henri",FRA,Men,foil individual,M,Silver,2
1896,Athens,Fencing,Fencing,"PYRGOS, Leonidas",GRE,Men,"foil, masters",M,Gold,1
1896,Athens,Fencing,Fencing,"PERRONNET, Maurice",FRA,Men,"foil, masters",M,Silver,2
1896,Athens,Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",GRE,Men,heavyweight - one hand lift,M,Bronze,3
1896,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,heavyweight - one hand lift,M,Gold,1
1896,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,heavyweight - one hand lift,M,Silver,2
1896,Athens,Weightlifting,Weightlifting,"VERSIS, Sotirios",GRE,Men,heavyweight - two hand lift,M,Bronze,3
1896,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,heavyweight - two hand lift,M,Gold,1
1896,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,heavyweight - two hand lift,M,Silver,2
1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,high jump,M,Gold,1
1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,high jump,M,Silver,2
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,high jump,M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,horizontal bar,M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,horizontal bar,M,Silver,2
1896,Athens,Cycling,Cycling Road,"BATTEL, Edward",GBR,Men,individual road race,M,Bronze,3
1896,Athens,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",GRE,Men,individual road race,M,Gold,1
1896,Athens,Cycling,Cycling Road,"GOEDRICH, August",GER,Men,individual road race,M,Silver,2
1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,long jump,M,Bronze,3
1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,long jump,M,Gold,1
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,long jump,M,Silver,2
1896,Athens,Athletics,Athletics,"KELLNER, Gyula",HUN,Men,marathon,M,Bronze,3
1896,Athens,Athletics,Athletics,"LOUIS, Spyridon",GRE,Men,marathon,M,Gold,1
1896,Athens,Athletics,Athletics,"VASILAKOS, Kharilaos",GRE,Men,marathon,M,Silver,2
1896,Athens,Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",GRE,Men,open event,M,Bronze,3
1896,Athens,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",GER,Men,open event,M,Gold,1
1896,Athens,Wrestling,Wrestling Gre-R,"TSITAS, Georgios",GRE,Men,open event,M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,parallel bars,M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,parallel bars,M,Silver,2
1896,Athens,Athletics,Athletics,"DAMASKOS, Evangelos",GRE,Men,pole vault,M,Bronze,3
1896,Athens,Athletics,Athletics,"THEODOROPOULOS, Ioannis",GRE,Men,pole vault,M,Bronze,3
1896,Athens,Athletics,Athletics,"HOYT, William Welles",USA,Men,pole vault,M,Gold,1
1896,Athens,Athletics,Athletics,"TYLER, Albert",USA,Men,pole vault,M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,pommel horse,M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,pommel horse,M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,rings,M,Bronze,3
1896,Athens,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,rings,M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,rings,M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,rope climbing,M,Bronze,3
1896,Athens,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,rope climbing,M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,rope climbing,M,Silver,2
1896,Athens,Fencing,Fencing,"NIELSEN, Holger",DEN,Men,sabre individual,M,Bronze,3
1896,Athens,Fencing,Fencing,"GEORGIADIS, Ioannis",GRE,Men,sabre individual,M,Gold,1
1896,Athens,Fencing,Fencing,"KARAKALOS, Telemachos",GRE,Men,sabre individual,M,Silver,2
1896,Athens,Athletics,Athletics,"PAPASIDERIS, Georgios",GRE,Men,shot put,M,Bronze,3
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,shot put,M,Gold,1
1896,Athens,Athletics,Athletics,"GOUSKOS, Miltiadis",GRE,Men,shot put,M,Silver,2
1896,Athens,Tennis,Tennis,"PASPATIS, Konstantinos",GRE,Men,singles,M,Bronze,3
1896,Athens,Tennis,Tennis,"TAPAVICZA, Momcsillo",HUN,Men,singles,M,Bronze,3
1896,Athens,Tennis,Tennis,"BOLAND, John",GBR,Men,singles,M,Gold,1
1896,Athens,Tennis,Tennis,"KASDAGLIS, Dionysios",GRE,Men,singles,M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"BÖCKER, Konrad",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"RÖSTEL, Richard",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,"team, horizontal bar",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis",GRE,Men,"team, parallel bars",M,Bronze,3
1896,Athens,Gymnastics,Artistic G.,"KARVELAS, Phillippos",GRE,Men,"team, parallel bars",M,Bronze,3
1896,Athens,Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios",GRE,Men,"team, parallel bars",M,Bronze,3
1896,Athens,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,"team, parallel bars",M,Bronze,3
1896,Athens,Gymnastics,Artistic G.,"BÖCKER, Konrad",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"RÖSTEL, Richard",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,"team, parallel bars",M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,"team, parallel bars",M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros",GRE,Men,"team, parallel bars",M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,"team, parallel bars",M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,"team, parallel bars",M,Silver,2
1896,Athens,Athletics,Athletics,"PERSAKIS, Ioannis",GRE,Men,triple jump,M,Bronze,3
1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,triple jump,M,Gold,1
1896,Athens,Athletics,Athletics,"TUFFERI, Alexandre",FRA,Men,triple jump,M,Silver,2
1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,vault,M,Bronze,3
1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,vault,M,Gold,1
1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,vault,M,Silver,2
1900,Paris,Sailing,Sailing,"MICHELET, E.",FRA,Men,0.5-1t,X,Bronze,3
1900,Paris,Sailing,Sailing,"MICHELET, F.",FRA,Men,0.5-1t,X,Bronze,3
1900,Paris,Sailing,Sailing,"GRETTON, John H.",GBR,Men,0.5-1t,X,Gold,1
1900,Paris,Sailing,Sailing,"HOPE, Linton",GBR,Men,0.5-1t,X,Gold,1
1900,Paris,Sailing,Sailing,"LORD CURRIE, Lorne Campbell",GBR,Men,0.5-1t,X,Gold,1
1900,Paris,Sailing,Sailing,"BAUDRIER, Jacques",FRA,Men,0.5-1t,X,Silver,2
1900,Paris,Sailing,Sailing,"LEBRET, Jean",FRA,Men,0.5-1t,X,Silver,2
1900,Paris,Sailing,Sailing,MARCOTTE,FRA,Men,0.5-1t,X,Silver,2
1900,Paris,Sailing,Sailing,"MARTIN, William",FRA,Men,0.5-1t,X,Silver,2
1900,Paris,Sailing,Sailing,VALTON,FRA,Men,0.5-1t,X,Silver,2
1900,Paris,Sailing,Sailing,"HORE, Edward",GBR,Men,10-20t,X,Bronze,3
1900,Paris,Sailing,Sailing,"BILLARD, Emile",FRA,Men,10-20t,X,Gold,1
1900,Paris,Sailing,Sailing,"PERQUER, P.",FRA,Men,10-20t,X,Gold,1
1900,Paris,Sailing,Sailing,"LE DUC DECAZES, Jean",FRA,Men,10-20t,X,Silver,2
1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,100m,M,Bronze,3
1900,Paris,Athletics,Athletics,"JARVIS, Francis",USA,Men,100m,M,Gold,1
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,100m,M,Silver,2
1900,Paris,Athletics,Athletics,"MOLONEY, Frederick",USA,Men,110m hurdles,M,Bronze,3
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,110m hurdles,M,Gold,1
1900,Paris,Athletics,Athletics,"MCLEAN, John",USA,Men,110m hurdles,M,Silver,2
1900,Paris,Athletics,Athletics,"BRAY, John",USA,Men,1500m,M,Bronze,3
1900,Paris,Athletics,Athletics,"BENNETT, Charles",GBR,Men,1500m,M,Gold,1
1900,Paris,Athletics,Athletics,"DELOGE, Henri",FRA,Men,1500m,M,Silver,2
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,1500m freestyle,M,Bronze,3
1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,1500m freestyle,M,Gold,1
1900,Paris,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,1500m freestyle,M,Silver,2
1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,200m,M,Bronze,3
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200m,M,Gold,1
1900,Paris,Athletics,Athletics,"PRITCHARD, Norman",IND,Men,200m,M,Silver,2
1900,Paris,Aquatics,Swimming,"DROST, Johannes",NED,Men,200m backstroke,M,Bronze,3
1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m backstroke,M,Gold,1
1900,Paris,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m backstroke,M,Silver,2
1900,Paris,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m freestyle,M,Bronze,3
1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m freestyle,M,Gold,1
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,200m freestyle,M,Silver,2
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200m hurdles,M,Bronze,3
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,200m hurdles,M,Gold,1
1900,Paris,Athletics,Athletics,"PRITCHARD, Norman",IND,Men,200m hurdles,M,Silver,2
1900,Paris,Aquatics,Swimming,"KEMP, Peter",GBR,Men,200m obstacle event,M,Bronze,3
1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m obstacle event,M,Gold,1
1900,Paris,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,200m obstacle event,M,Silver,2
1900,Paris,Aquatics,Swimming,HOUBEN,FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,"LEUILLIEUX, Jean",FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,"MERCHEZ, Désiré",FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,TARTARA,FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,"FREY, Julius",GER,Men,200m team swimming,M,Gold,1
1900,Paris,Aquatics,Swimming,"HAINLE, Max",GER,Men,200m team swimming,M,Gold,1
1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m team swimming,M,Gold,1
1900,Paris,Aquatics,Swimming,"SCHÖNE, Max",GER,Men,200m team swimming,M,Gold,1
